farm_id,farm_name,region,crop_type,acreage,log_acreage,ffmi_score,tier,tier_classification,pillar_1_smart_farming,pillar_2_renewable_energy,pillar_3_food_safety,pillar_4_climate_resilience,pillar_5_business_performance,pillar_6_human_capital,pillar_7_market_access,pillar_8_investment_readiness,priority_gap_depth,pillar_variance,climate_shock_index,market_volatility_index,historical_delta_ffmi,previous_ffmi_score,vulnerability_score,risk_label,risk_category
1724006f-e9ac-55d5-826d-1f2616f0d031,Bomet Horticulture Farm #0014,Rift Valley,Horticulture,6.01,1.9473,12.12,3,Structured Farm,0.6,0.36,0.52,0.8,0.48,0.52,0.52,0.24,0.24,0.1535,0.297,0.2041,4.4122,7.7078,0.4288,2,High Risk
326d6ba7-1e0a-5974-911e-8a7229a8f86d,Makueni Livestock Farm #0015,Eastern Semi-Arid,Livestock,0.99,0.6881,4.8,5,Future Ready Farm,0.0,0.2,0.24,0.44,0.2,0.24,0.16,0.12,0.0,0.1166,0.6516,0.5442,-1.4988,6.2988,0.7121,2,High Risk
aab5cbaa-f6d6-54f8-9268-c472c9b99c62,Machakos Mangoes Farm #0016,Eastern Semi-Arid,Mangoes,2.76,1.3244,5.52,2,Emerging Agribusiness,0.12,0.08,0.24,0.6,0.16,0.32,0.2,0.12,0.08,0.1572,0.4439,0.3632,0.1542,5.3658,0.5867,2,High Risk
77127a86-05a3-5fe7-9a2a-db432dcf98c9,Kwale Cashew Farm #0017,Coastal Lowlands,Cashew,11.91,2.558,12.36,3,Structured Farm,0.32,0.48,0.6,0.76,0.44,0.72,0.44,0.36,0.32,0.1516,0.5619,0.4041,2.5722,9.7878,0.5047,1,Medium Risk
8067886e-21c9-519c-93f0-ebad992b555d,Vihiga Poultry Farm #0018,Western Kenya,Poultry,0.69,0.5247,5.64,2,Emerging Agribusiness,0.24,0.24,0.12,0.64,0.04,0.2,0.24,0.16,0.04,0.1667,0.372,0.6095,-1.3332,6.9732,0.7221,2,High Risk
30d6a9a5-ce22-5952-832a-4bdd601c73a9,Kitui Green Grams Farm #0019,Eastern Semi-Arid,Green Grams,6.5,2.0149,11.88,3,Structured Farm,0.4,0.36,0.56,0.68,0.44,0.72,0.52,0.28,0.28,0.1441,0.7504,0.2908,0.6132,11.2668,0.5393,1,Medium Risk
e66ee568-72c3-5839-a7ec-aeafae9c57ca,Machakos Cowpeas Farm #0020,Eastern Semi-Arid,Cowpeas,5.35,1.8485,10.8,3,Structured Farm,0.36,0.36,0.64,0.52,0.52,0.44,0.36,0.4,0.36,0.0954,0.5315,0.6098,4.4045,6.3955,0.4741,1,Medium Risk
423d0e08-8aac-5c74-82e8-c741f4f0922d,Tharaka Nithi Sorghum Farm #0021,Eastern Semi-Arid,Sorghum,4.3,1.6677,11.04,3,Structured Farm,0.44,0.44,0.44,0.76,0.4,0.44,0.48,0.28,0.28,0.1265,0.5691,0.4815,0.6467,10.3933,0.5875,1,Medium Risk
dc90a3bb-8741-5b47-ac53-2afdebd197a6,Kericho Wheat Farm #0022,Rift Valley,Wheat,1.21,0.793,6.36,2,Emerging Agribusiness,0.2,0.16,0.32,0.56,0.16,0.32,0.2,0.2,0.16,0.1264,0.2656,0.2289,0.0138,6.3462,0.5361,2,High Risk
d91a72d9-cde1-52ae-8f09-e5b32c1ebd97,Lamu Cassava Farm #0023,Coastal Lowlands,Cassava,25.33,3.2707,20.28,5,Future Ready Farm,0.88,0.76,0.88,0.72,0.84,0.88,0.92,0.88,0.72,0.0646,0.5644,0.5082,1.9618,18.3182,0.2464,0,Low Risk
d1634aa9-9231-5c14-a5f5-79d7f24cfb1d,Bungoma Cassava Farm #0024,Western Kenya,Cassava,24.4,3.2347,19.68,4,Investment Ready Farm,0.84,0.76,0.84,0.76,0.8,0.88,0.92,0.76,0.76,0.0566,0.3065,0.3202,3.0932,16.5868,0.2641,0,Low Risk
6909e58e-4938-50c6-8b44-17a98562bf57,Busia Maize Farm #0025,Western Kenya,Maize,2.33,1.203,11.88,3,Structured Farm,0.4,0.48,0.32,0.68,0.48,0.52,0.68,0.4,0.32,0.1216,0.3786,0.2792,3.1405,8.7395,0.4232,1,Medium Risk
ffe9520d-7a36-5089-bbb7-408052b8af2c,Makueni Green Grams Farm #0026,Eastern Semi-Arid,Green Grams,1.09,0.7372,6.0,2,Emerging Agribusiness,0.28,0.16,0.4,0.64,0.12,0.2,0.12,0.08,0.08,0.1764,0.4876,0.3085,0.2985,5.7015,0.6802,2,High Risk
88295350-85bc-5f69-87a8-a0e6325b7b98,Taita Taveta Cassava Farm #0027,Coastal Lowlands,Cassava,0.5,0.4055,6.36,2,Emerging Agribusiness,0.16,0.28,0.24,0.64,0.08,0.4,0.28,0.04,0.04,0.1788,0.4009,0.4871,-1.0386,7.3986,0.6081,2,High Risk
ba5faa2b-8e0a-5a63-8570-f93535185615,Lamu Cassava Farm #0028,Coastal Lowlands,Cassava,2.77,1.3271,4.92,5,Future Ready Farm,0.08,0.2,0.2,0.4,0.12,0.24,0.24,0.16,0.08,0.0904,0.3383,0.6417,1.76,3.16,0.6645,2,High Risk
1174fed8-008e-5ff6-97a4-e595225fb3eb,Taita Taveta Cassava Farm #0029,Coastal Lowlands,Cassava,1.09,0.7372,4.8,5,Future Ready Farm,0.12,0.12,0.08,0.56,0.16,0.28,0.2,0.08,0.08,0.1497,0.696,0.5086,0.4589,4.3411,0.6819,2,High Risk
04924650-c80a-5d70-91a8-de2c96642d63,Kwale Cassava Farm #0030,Coastal Lowlands,Cassava,3.39,1.4793,11.88,3,Structured Farm,0.44,0.44,0.44,0.68,0.56,0.52,0.48,0.4,0.4,0.0847,0.4415,0.3337,1.4563,10.4237,0.3942,1,Medium Risk
1b4dc038-79d3-5732-90e3-a5e965a7e96b,Lamu Vegetables Farm #0031,Coastal Lowlands,Vegetables,7.46,2.1353,12.12,3,Structured Farm,0.52,0.44,0.6,0.64,0.36,0.56,0.64,0.28,0.28,0.1248,0.473,0.3906,3.0292,9.0908,0.5082,1,Medium Risk
057bf5ec-f5fd-5332-9b9c-b8499d0b78d1,Kilifi Cassava Farm #0032,Coastal Lowlands,Cassava,5.0,1.7918,20.16,5,Future Ready Farm,0.92,0.88,0.84,0.76,0.76,0.84,0.88,0.84,0.76,0.0529,0.4713,0.5274,2.6654,17.4946,0.268,0,Low Risk
0cbb86d7-ddd5-53dd-aaf6-75ca23909918,Taita Taveta Cassava Farm #0033,Coastal Lowlands,Cassava,3.99,1.6074,5.04,2,Emerging Agribusiness,0.12,0.2,0.28,0.52,0.12,0.16,0.12,0.16,0.12,0.1277,0.3806,0.5363,0.4529,4.5871,0.5954,2,High Risk
d8c1926a-4560-5935-b3d5-29d32afe8775,Kiambu Tea Farm #0034,Central Highlands,Tea,3.14,1.4207,5.76,2,Emerging Agribusiness,0.04,0.32,0.16,0.48,0.24,0.32,0.32,0.04,0.04,0.1428,0.3083,0.0668,0.1537,5.6063,0.5586,2,High Risk
140638c9-c4e5-5282-9198-97f33094fcf9,Kiambu Dairy Farm #0035,Central Highlands,Dairy,2.56,1.2698,6.48,2,Emerging Agribusiness,0.28,0.28,0.28,0.64,0.12,0.36,0.16,0.04,0.04,0.1706,0.2141,0.238,-0.0423,6.5223,0.5503,2,High Risk
95481682-ebb4-52ff-93ef-d2b4c6643802,Uasin Gishu Maize Farm #0036,Rift Valley,Maize,3.64,1.5347,5.76,2,Emerging Agribusiness,0.08,0.28,0.16,0.64,0.16,0.28,0.08,0.24,0.08,0.1685,0.1854,0.3148,0.0299,5.7301,0.6805,2,High Risk
db7e8a8c-ce1f-5060-bbf1-14a20acd197c,Kitui Mangoes Farm #0037,Eastern Semi-Arid,Mangoes,2.83,1.3429,5.76,2,Emerging Agribusiness,0.2,0.28,0.24,0.52,0.12,0.36,0.2,0.0,0.0,0.1456,0.6604,0.445,-0.0884,5.8484,0.7294,2,High Risk
a36e1072-1d22-55bd-8973-ca86ded209bc,Makueni Green Grams Farm #0038,Eastern Semi-Arid,Green Grams,1.92,1.0716,5.64,2,Emerging Agribusiness,0.2,0.2,0.2,0.44,0.08,0.52,0.2,0.04,0.04,0.1542,0.3592,0.6172,-1.1873,6.8273,0.6806,2,High Risk
8f385f0c-9eda-58d5-be04-5719da33bd82,Siaya Dairy Farm #0039,Western Kenya,Dairy,2.45,1.2384,5.4,2,Emerging Agribusiness,0.04,0.28,0.28,0.52,0.16,0.24,0.16,0.12,0.04,0.1356,0.4586,0.4126,0.86,4.54,0.6569,2,High Risk
ec1f3f47-7081-5467-b843-89e2f94e64f0,Lamu Coconut Farm #0040,Coastal Lowlands,Coconut,8.89,2.2915,11.28,3,Structured Farm,0.32,0.4,0.56,0.68,0.6,0.52,0.28,0.4,0.28,0.1323,0.701,0.5556,2.7502,8.5298,0.5727,1,Medium Risk
3de37f74-16be-5890-ab7b-8239dee8ab42,Kiambu Horticulture Farm #0041,Central Highlands,Horticulture,1.55,0.9361,5.28,2,Emerging Agribusiness,0.24,0.24,0.28,0.48,0.08,0.12,0.08,0.24,0.08,0.1233,0.4744,0.2626,0.4701,4.8099,0.6279,2,High Risk
3b3268b5-07d6-583c-af5f-fd44514b690d,Makueni Mangoes Farm #0042,Eastern Semi-Arid,Mangoes,6.15,1.9671,11.64,3,Structured Farm,0.4,0.44,0.56,0.52,0.52,0.32,0.64,0.48,0.32,0.0926,0.7512,0.6062,1.059,10.581,0.5628,1,Medium Risk
70089432-a0a2-52b2-a353-399fc5e66a84,Busia Cassava Farm #0043,Western Kenya,Cassava,5.05,1.8001,11.76,3,Structured Farm,0.4,0.6,0.48,0.6,0.4,0.64,0.48,0.32,0.32,0.1072,0.3003,0.4697,1.1121,10.6479,0.5587,1,Medium Risk
3f17eed4-2c28-5416-af5e-6a58f1b01f24,Taita Taveta Cassava Farm #0044,Coastal Lowlands,Cassava,1.47,0.9042,5.76,2,Emerging Agribusiness,0.16,0.24,0.2,0.52,0.12,0.28,0.28,0.12,0.12,0.1217,0.4774,0.4323,1.7307,4.0293,0.6006,2,High Risk
9c7778ce-1a93-5c6a-890a-9b76e964e597,Murang'a Avocado Farm #0045,Central Highlands,Avocado,3.44,1.4907,11.76,3,Structured Farm,0.32,0.44,0.72,0.76,0.6,0.4,0.4,0.28,0.28,0.1694,0.2927,0.3632,1.7302,10.0298,0.4238,1,Medium Risk
a364094b-0dc7-559f-a8a3-393be260ae34,Kisumu Sugarcane Farm #0046,Western Kenya,Sugarcane,8.69,2.2711,11.4,3,Structured Farm,0.48,0.48,0.64,0.68,0.28,0.56,0.4,0.28,0.28,0.1406,0.2643,0.4274,2.7251,8.6749,0.4398,1,Medium Risk
7fb1de75-82c6-504d-a97c-8b76c169d754,Kakamega Maize Farm #0047,Western Kenya,Maize,3.71,1.5497,6.48,2,Emerging Agribusiness,0.2,0.16,0.44,0.6,0.2,0.2,0.28,0.08,0.08,0.1584,0.2819,0.527,-0.6293,7.1093,0.5912,2,High Risk
844b4dd6-6f5b-5b12-abb1-f18a6b0a9cb7,Kisumu Sugarcane Farm #0048,Western Kenya,Sugarcane,3.45,1.4929,5.16,2,Emerging Agribusiness,0.24,0.16,0.2,0.6,0.08,0.2,0.16,0.08,0.08,0.1548,0.2275,0.5244,0.6202,4.5398,0.6607,2,High Risk
9757b6e4-95d7-5b4e-8949-0ed42784f290,Tharaka Nithi Sorghum Farm #0049,Eastern Semi-Arid,Sorghum,1.5,0.9163,12.12,3,Structured Farm,0.52,0.52,0.64,0.6,0.36,0.56,0.6,0.24,0.24,0.128,0.6651,0.505,0.8325,11.2875,0.5626,2,High Risk
7471688e-cb6d-56cb-afa3-3e9bbf3bf99a,Embu Macadamia Farm #0050,Central Highlands,Macadamia,1.7,0.9933,5.64,2,Emerging Agribusiness,0.2,0.28,0.32,0.48,0.24,0.24,0.08,0.04,0.04,0.1287,0.3028,0.2337,1.863,3.777,0.5613,2,High Risk
0db603dd-2aab-5095-a530-2fdf46e8dcb2,Siaya Cassava Farm #0051,Western Kenya,Cassava,3.99,1.6074,5.64,2,Emerging Agribusiness,0.2,0.24,0.28,0.48,0.12,0.2,0.28,0.08,0.08,0.1139,0.2621,0.4812,1.5519,4.0881,0.6348,2,High Risk
47b9c4eb-b046-5375-ac49-198bbac76e20,Embu Coffee Farm #0052,Central Highlands,Coffee,2.99,1.3838,5.28,2,Emerging Agribusiness,0.2,0.16,0.08,0.56,0.32,0.36,0.08,0.0,0.0,0.172,0.1625,0.3473,1.4307,3.8493,0.5686,2,High Risk
bc1b45e8-3cc4-5d07-b32c-44d63ad651b6,Taita Taveta Cashew Farm #0053,Coastal Lowlands,Cashew,6.73,2.0451,11.16,3,Structured Farm,0.4,0.4,0.48,0.6,0.48,0.56,0.4,0.4,0.4,0.0747,0.6233,0.362,4.3326,6.8274,0.5039,1,Medium Risk
9f05a59c-db5e-5afa-aa5e-2f863aa2341d,Embu Dairy Farm #0054,Central Highlands,Dairy,7.47,2.1365,12.36,3,Structured Farm,0.44,0.6,0.56,0.72,0.36,0.64,0.52,0.28,0.28,0.1377,0.2329,0.135,3.0154,9.3446,0.407,1,Medium Risk
b7edcd50-0bd7-5b9c-a0e4-3e1f2be5a65c,Machakos Mangoes Farm #0055,Eastern Semi-Arid,Mangoes,6.76,2.049,12.0,3,Structured Farm,0.4,0.64,0.48,0.72,0.48,0.4,0.56,0.32,0.32,0.1249,0.7063,0.4902,4.1239,7.8761,0.4409,1,Medium Risk
51951e84-f675-5b2e-9d34-f67b189a619d,Trans Nzoia Potatoes Farm #0056,Rift Valley,Potatoes,12.05,2.5688,12.96,3,Structured Farm,0.44,0.52,0.56,0.88,0.48,0.52,0.48,0.44,0.44,0.1342,0.3401,0.4994,1.3542,11.6058,0.416,1,Medium Risk
bac50350-65e9-5ea0-881a-152819de634f,Murang'a Avocado Farm #0057,Central Highlands,Avocado,1.95,1.0818,6.6,2,Emerging Agribusiness,0.24,0.28,0.24,0.64,0.04,0.28,0.32,0.16,0.04,0.1605,0.3888,0.4276,1.3594,5.2406,0.6352,2,High Risk
3d7a65db-5338-545f-98e2-1c9469b64c48,Nandi Potatoes Farm #0058,Rift Valley,Potatoes,5.73,1.9066,12.12,3,Structured Farm,0.48,0.36,0.64,0.6,0.44,0.68,0.56,0.28,0.28,0.1311,0.137,0.2686,1.095,11.025,0.4495,1,Medium Risk
f0d24f80-ff59-5df1-ace4-20e2523eb1ae,Lamu Cashew Farm #0059,Coastal Lowlands,Cashew,2.3,1.1939,5.64,2,Emerging Agribusiness,0.16,0.2,0.24,0.56,0.2,0.2,0.2,0.12,0.12,0.1272,0.5627,0.5316,0.8454,4.7946,0.5938,2,High Risk
1894c2fa-25c5-59f1-8bfc-881d8044c705,Machakos Pigeon Peas Farm #0060,Eastern Semi-Arid,Pigeon Peas,3.32,1.4633,5.64,2,Emerging Agribusiness,0.2,0.24,0.12,0.6,0.16,0.36,0.2,0.0,0.0,0.1679,0.7128,0.5558,-1.1663,6.8063,0.6417,2,High Risk
720adb47-d238-5b6e-bbf5-39c0f70bea97,Siaya Sugarcane Farm #0061,Western Kenya,Sugarcane,10.64,2.4544,11.4,3,Structured Farm,0.4,0.48,0.48,0.72,0.44,0.64,0.4,0.24,0.24,0.1392,0.1875,0.3866,1.0422,10.3578,0.441,2,High Risk
823bf789-483d-54ae-bab0-871a0204488f,Embu Coffee Farm #0062,Central Highlands,Coffee,0.5,0.4055,6.84,2,Emerging Agribusiness,0.32,0.2,0.32,0.6,0.32,0.36,0.12,0.04,0.04,0.1593,0.4332,0.3757,-0.7178,7.5578,0.6285,2,High Risk
0c4fa962-656e-5c36-8230-65162a01698d,Kisumu Maize Farm #0063,Western Kenya,Maize,6.32,1.9906,11.04,3,Structured Farm,0.4,0.36,0.52,0.6,0.44,0.52,0.56,0.28,0.28,0.102,0.4292,0.5134,4.3529,6.6871,0.5399,1,Medium Risk
8af18190-6a75-5bf7-aa39-17aef6061303,Trans Nzoia Dairy Farm #0064,Rift Valley,Dairy,1.5,0.9163,12.6,3,Structured Farm,0.48,0.48,0.48,0.56,0.52,0.68,0.48,0.52,0.48,0.0646,0.454,0.3028,1.2362,11.3638,0.5134,1,Medium Risk
0bab0f41-ca4a-5ad0-bf32-48066df6be6a,Tharaka Nithi Green Grams Farm #0065,Eastern Semi-Arid,Green Grams,12.04,2.568,12.72,3,Structured Farm,0.24,0.52,0.6,0.76,0.6,0.68,0.48,0.36,0.24,0.1584,0.7719,0.6546,0.5364,12.1836,0.5328,2,High Risk
c86a9977-b853-5ebe-acb0-9d84aefff94a,Uasin Gishu Dairy Farm #0066,Rift Valley,Dairy,10.53,2.445,12.84,3,Structured Farm,0.52,0.48,0.52,0.72,0.64,0.64,0.4,0.36,0.36,0.1165,0.0849,0.3993,3.2214,9.6186,0.3709,1,Medium Risk
5fc2c3c6-e6f2-52c3-b7b2-3e9262533964,Makueni Sorghum Farm #0067,Eastern Semi-Arid,Sorghum,5.95,1.9387,10.92,3,Structured Farm,0.52,0.28,0.4,0.64,0.44,0.56,0.52,0.28,0.28,0.1216,0.4853,0.503,1.1845,9.7355,0.5431,1,Medium Risk
61b3ba29-c971-56ae-bc38-1d6077552ea8,Lamu Vegetables Farm #0068,Coastal Lowlands,Vegetables,0.5,0.4055,5.88,2,Emerging Agribusiness,0.12,0.28,0.12,0.68,0.16,0.24,0.16,0.2,0.12,0.1726,0.5889,0.2971,0.8851,4.9949,0.6013,2,High Risk
e53d11b6-9fd3-54f2-9198-4cbebdd3a4a8,Meru Avocado Farm #0069,Central Highlands,Avocado,2.15,1.1474,5.64,2,Emerging Agribusiness,0.12,0.28,0.28,0.48,0.16,0.28,0.2,0.08,0.08,0.1174,0.2124,0.421,-1.2732,6.9132,0.6055,2,High Risk
21b918ec-fea5-5791-bddd-08f2bce5b45d,Embu Coffee Farm #0070,Central Highlands,Coffee,2.21,1.1663,4.92,5,Future Ready Farm,0.08,0.2,0.24,0.6,0.24,0.12,0.08,0.08,0.08,0.163,0.2612,0.1951,-0.8513,5.7713,0.556,2,High Risk
11a1501d-ef84-5168-9e99-76b508058dbd,Kiambu Coffee Farm #0071,Central Highlands,Coffee,2.04,1.1119,5.88,2,Emerging Agribusiness,0.12,0.2,0.24,0.56,0.16,0.4,0.16,0.12,0.12,0.1462,0.1946,0.5337,1.1211,4.7589,0.607,2,High Risk
64811cfe-c53c-5391-a5b5-952324eb61e9,Meru Macadamia Farm #0072,Central Highlands,Macadamia,0.56,0.4447,5.16,2,Emerging Agribusiness,0.2,0.12,0.28,0.64,0.12,0.2,0.08,0.08,0.08,0.1731,0.2891,0.1992,1.7855,3.3745,0.5525,2,High Risk
ecc2e9a8-1f50-54f5-885c-09fe6a19ace4,Meru Horticulture Farm #0073,Central Highlands,Horticulture,28.66,3.3898,19.8,4,Investment Ready Farm,0.72,0.84,1.0,0.64,0.76,0.92,0.92,0.8,0.64,0.1112,0.0734,0.3593,4.7828,15.0172,0.192,0,Low Risk
0667c98b-c01b-5d9d-bc95-3703faeaf891,Tharaka Nithi Sorghum Farm #0074,Eastern Semi-Arid,Sorghum,2.99,1.3838,4.56,5,Future Ready Farm,0.12,0.16,0.28,0.44,0.08,0.2,0.08,0.16,0.08,0.1127,0.6452,0.311,-0.1743,4.7343,0.7208,2,High Risk
63735fe0-280b-562e-b76b-42a3e57cad85,Siaya Maize Farm #0075,Western Kenya,Maize,4.17,1.6429,6.84,2,Emerging Agribusiness,0.2,0.12,0.36,0.68,0.24,0.4,0.16,0.12,0.12,0.1783,0.3006,0.3406,1.0325,5.8075,0.6514,2,High Risk
5bc37249-306d-578e-b528-c764e77fb90f,Meru Tea Farm #0076,Central Highlands,Tea,2.9,1.361,6.12,2,Emerging Agribusiness,0.2,0.16,0.32,0.6,0.16,0.32,0.2,0.08,0.08,0.1509,0.3828,0.2372,1.9525,4.1675,0.6095,2,High Risk
a0edac43-e52a-5723-8b9b-832a031fbeea,Kilifi Vegetables Farm #0077,Coastal Lowlands,Vegetables,2.23,1.1725,5.76,2,Emerging Agribusiness,0.28,0.2,0.4,0.44,0.08,0.24,0.24,0.04,0.04,0.1296,0.5293,0.4012,0.6712,5.0888,0.7378,2,High Risk
cfdde529-725f-5624-9ee0-8566501b30ab,Busia Horticulture Farm #0078,Western Kenya,Horticulture,7.11,2.0931,13.2,3,Structured Farm,0.6,0.4,0.6,0.76,0.6,0.44,0.56,0.44,0.4,0.1109,0.4939,0.161,3.2499,9.9501,0.3643,1,Medium Risk
43ea3aea-f673-5511-890c-80cc896de8ea,Vihiga Poultry Farm #0079,Western Kenya,Poultry,3.44,1.4907,12.48,3,Structured Farm,0.44,0.6,0.68,0.64,0.28,0.56,0.56,0.4,0.28,0.1265,0.3447,0.4459,1.1424,11.3376,0.5406,1,Medium Risk
d7bda7d2-12d1-5aed-9a6b-defe1dc9109f,Lamu Cashew Farm #0080,Coastal Lowlands,Cashew,5.7,1.9021,10.92,3,Structured Farm,0.6,0.36,0.4,0.52,0.44,0.36,0.44,0.52,0.36,0.0798,0.396,0.5767,0.8809,10.0391,0.594,1,Medium Risk
37cabefd-6208-5cbc-8402-cff6689d42b1,Tharaka Nithi Pigeon Peas Farm #0081,Eastern Semi-Arid,Pigeon Peas,3.77,1.5623,12.36,3,Structured Farm,0.52,0.36,0.6,0.68,0.56,0.48,0.64,0.28,0.28,0.1287,0.7943,0.4525,2.8719,9.4881,0.4888,1,Medium Risk
9b3de8dd-cf11-5c89-bc68-b769f9c569a5,Machakos Green Grams Farm #0082,Eastern Semi-Arid,Green Grams,2.35,1.209,6.0,2,Emerging Agribusiness,0.2,0.16,0.2,0.56,0.28,0.24,0.28,0.08,0.08,0.1323,0.6758,0.399,-0.5839,6.5839,0.759,2,High Risk
9a5b4356-7fe8-5381-aa32-d6ee028f16cb,Nandi Maize Farm #0083,Rift Valley,Maize,3.89,1.5872,11.4,3,Structured Farm,0.52,0.32,0.68,0.56,0.48,0.48,0.48,0.28,0.28,0.1191,0.1989,0.4064,1.9728,9.4272,0.5249,1,Medium Risk
7773c976-5b86-5d22-97f5-3dc18f781b3a,Lamu Vegetables Farm #0084,Coastal Lowlands,Vegetables,4.62,1.7263,5.88,2,Emerging Agribusiness,0.2,0.24,0.28,0.52,0.08,0.36,0.2,0.08,0.08,0.1363,0.6571,0.3909,0.8475,5.0325,0.6545,2,High Risk
2649dbfa-b263-5a05-88d2-8d205c530d17,Nakuru Tea Farm #0085,Rift Valley,Tea,2.76,1.3244,5.28,2,Emerging Agribusiness,0.16,0.2,0.2,0.56,0.12,0.32,0.12,0.08,0.08,0.1456,0.2441,0.3922,0.533,4.747,0.6131,2,High Risk
ddd95349-8077-5a77-bd45-ba4d6fc52bfe,Kwale Vegetables Farm #0086,Coastal Lowlands,Vegetables,0.5,0.4055,4.8,5,Future Ready Farm,0.24,0.2,0.24,0.36,0.04,0.16,0.28,0.08,0.04,0.098,0.5145,0.331,0.5396,4.2604,0.6576,2,High Risk
fc172af0-92ce-5c16-a3d5-de67f1d412b7,Embu Horticulture Farm #0087,Central Highlands,Horticulture,4.81,1.7596,13.2,3,Structured Farm,0.52,0.6,0.6,0.76,0.52,0.44,0.56,0.4,0.4,0.1034,0.4084,0.3483,2.1114,11.0886,0.4623,1,Medium Risk
